method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,32,1%,0.009229349330872173,0.009615384615384616,21,6,0.1875,False,False,False,0.0,0.0040718989994275034,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,21,19,0.59375,True,True,False,0.40625,0.00013632300033350475,273
LDPC,32,1%,0.009229349330872173,0.009615384615384616,22,6,0.1875,True,True,False,0.8125,0.0001154729998233961,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,22,19,0.59375,True,True,False,0.40625,1.4675999409519136e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,23,6,0.1875,False,False,False,0.0,0.003888682999786397,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,23,19,0.59375,True,True,False,0.40625,2.330799998162547e-05,13
LDPC,32,1%,0.009229349330872173,0.009615384615384616,24,6,0.1875,True,False,True,0.0,6.645799930993235e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,24,19,0.59375,True,True,False,0.40625,1.6648999917379115e-05,3
LDPC,32,1%,0.009229349330872173,0.009615384615384616,25,6,0.1875,True,True,False,0.8125,6.160699922475033e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,25,19,0.59375,True,True,False,0.40625,1.3083000339975115e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,26,6,0.1875,True,True,False,0.8125,5.9422000049380586e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,26,19,0.59375,True,True,False,0.40625,1.2604000403371174e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,27,6,0.1875,True,True,False,0.8125,5.9347000387788285e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,27,19,0.59375,True,True,False,0.40625,1.2649999916902743e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,28,6,0.1875,True,True,False,0.8125,5.905699981667567e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,28,19,0.59375,True,True,False,0.40625,1.2663999768847134e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,29,6,0.1875,True,True,False,0.8125,5.7859000662574545e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,29,19,0.59375,True,True,False,0.40625,1.2247000086063053e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,30,6,0.1875,True,True,False,0.8125,5.775699992227601e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,30,19,0.59375,True,True,False,0.40625,1.264000002265675e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,31,6,0.1875,True,True,False,0.8125,5.908499952056445e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,31,19,0.59375,True,True,False,0.40625,1.249999968422344e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,32,6,0.1875,True,True,False,0.8125,5.944399981672177e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,32,19,0.59375,True,True,False,0.40625,1.2209000487928279e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,33,6,0.1875,True,True,False,0.8125,5.825800053571584e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,33,19,0.59375,True,True,False,0.40625,1.2040000001434237e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,34,6,0.1875,True,True,False,0.8125,5.891299952054396e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,34,19,0.59375,True,True,False,0.40625,1.2615000741789117e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,35,6,0.1875,True,True,False,0.8125,5.8664000789576676e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,35,19,0.59375,True,True,False,0.40625,1.2702999811153859e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,36,6,0.1875,True,True,False,0.8125,5.784699987998465e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,36,19,0.59375,True,True,False,0.40625,1.2544000128400512e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,37,6,0.1875,True,True,False,0.8125,5.701300051441649e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,37,19,0.59375,True,True,False,0.40625,1.2348999916866887e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,38,6,0.1875,True,False,True,0.0,5.859199973201612e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,38,19,0.59375,True,True,False,0.40625,1.6804000551928766e-05,3
LDPC,32,1%,0.009229349330872173,0.009615384615384616,39,6,0.1875,False,False,False,0.0,0.0038640699995085015,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,39,19,0.59375,True,True,False,0.40625,1.9237000742577948e-05,2
LDPC,32,1%,0.009229349330872173,0.009615384615384616,40,6,0.1875,True,True,False,0.8125,6.245199983823113e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,40,19,0.59375,True,True,False,0.40625,1.2693999451585114e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,41,6,0.1875,True,True,False,0.8125,6.149000000732485e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,41,19,0.59375,True,True,False,0.40625,1.2175999472674448e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,42,6,0.1875,False,False,False,0.0,0.0038609729999734554,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,42,19,0.59375,True,True,False,0.40625,2.7459999728307594e-05,27
LDPC,32,1%,0.009229349330872173,0.009615384615384616,43,6,0.1875,False,False,False,0.0,0.0038600349998887395,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,43,19,0.59375,True,True,False,0.40625,1.9582999811973423e-05,10
