method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,budget
GRAND,16,1%,0.009229349330872173,0.009615384615384616,56,16,1.0,True,True,False,0.0,1.0134000149264466e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,56,16,1.0,True,True,False,0.0,9.809999937715475e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,57,16,1.0,True,True,False,0.0,1.0431999726279173e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,57,16,1.0,True,True,False,0.0,1.0038999789685477e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,57,16,1.0,True,True,False,0.0,9.899000360746868e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,58,16,1.0,True,True,False,0.0,1.011400036077248e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,58,16,1.0,True,True,False,0.0,9.856000360741746e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,58,16,1.0,True,True,False,0.0,9.700999726192094e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,59,16,1.0,True,True,False,0.0,1.0288999874319416e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,59,16,1.0,True,True,False,0.0,9.886000043479726e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,59,16,1.0,True,True,False,0.0,9.751999641594011e-06,1,1000000
GRAND,32,1%,0.009229349330872173,0.009615384615384616,0,19,0.59375,True,True,False,0.40625,1.2083000001439359e-05,1,10000
GRAND,32,1%,0.009229349330872173,0.009615384615384616,0,19,0.59375,True,True,False,0.40625,1.10889995994512e-05,1,100000
GRAND,32,1%,0.009229349330872173,0.009615384615384616,0,19,0.59375,True,True,False,0.40625,1.089999932446517e-05,1,1000000
GRAND,32,1%,0.009229349330872173,0.009615384615384616,1,19,0.59375,True,True,False,0.40625,1.1959999937971588e-05,1,10000
